#T(K)	P(Pa)
420	1.34E+05
425	1.52E+05
430	1.71E+05
435	1.92E+05
440	2.16E+05
445	2.41E+05
450	2.69E+05
455	2.99E+05
460	3.31E+05
465	3.67E+05
470	4.05E+05
475	4.46E+05
480	4.91E+05
485	5.38E+05
490	5.89E+05
495	6.44E+05
500	7.02E+05
505	7.65E+05
510	8.31E+05
515	9.02E+05
520	9.77E+05
525	1.06E+06
530	1.14E+06
535	1.23E+06
540	1.33E+06
545	1.43E+06
550	1.53E+06
555	1.64E+06
560	1.76E+06
565	1.88E+06
570	2.01E+06
575	2.14E+06
580	2.28E+06
585	2.43E+06
590	2.58E+06
595	2.74E+06
600	2.91E+06
