#T(K)	P(Pa)
369.38,	6.40E+03
374.38,	7.83E+03
379.38,	9.51E+03
384.38,	1.15E+04
389.38,	1.38E+04
394.38,	1.65E+04
399.38,	1.96E+04
404.38,	2.31E+04
409.38,	2.72E+04
414.38,	3.18E+04
419.38,	3.70E+04
424.38,	4.29E+04
429.38,	4.96E+04
434.38,	5.71E+04
439.38,	6.54E+04
444.38,	7.47E+04
449.38,	8.50E+04
454.38,	9.63E+04
