#T(K)	P(Pa)
348.97	6.41E+03
353.97	7.91E+03
358.97	9.70E+03
363.97	1.18E+04
368.97	1.43E+04
373.97	1.72E+04
378.97	2.05E+04
383.97	2.44E+04
388.97	2.88E+04
393.97	3.39E+04
398.97	3.96E+04
403.97	4.62E+04
408.97	5.35E+04
413.97	6.18E+04
418.97	7.11E+04
423.97	8.14E+04
428.97	9.29E+04
433.97	1.06E+05
